Date,Product ID,quantity sold,Selling Price,store id,product name,Lead Time,warehouse id,location,Supplier ID,supplier name,order date,delivery date,last Inventory update,Quantity on hand,reorder Level,Demand,Order Quantity,Cost Price
01-06-2022,1006,7,29.99,1006,Fair Trade Chocolate Box,12,1006,"Paris, France",1006,CocoaFair,1/13/2022,1/25/2022,1/22/2022,11,7,7,7,209.93
01-07-2022,1007,8,17.99,1007,Recycled Paper Notebook,4,1007,"Rio de Janeiro, Brazil",1007,EcoPaper Co.,1/14/2022,1/17/2022,1/16/2022,18,8,8,8,143.92
01-08-2022,1008,9,24.99,1008,Sustainable Bamboo Cutting Board,8,1008,"Tokyo, Japan",1008,EcoBamboo Co. Japan,1/15/2022,1/23/2022,1/20/2022,19,9,9,9,224.91
01-09-2022,1009,10,39.99,1009,Handmade Ceramic Mug,14,1009,"Cape Town, South Africa",1009,Ceramic Craftsmen,1/16/2022,1/29/2022,1/26/2022,20,10,10,10,439.98
09-01-2022,1001,25,12.99,1001,Organic Cotton T-Shirt,14,1001,New York,1002,Green Earth Inc.,8/15/2022,8/29/2022,09-01-2022,50,25,50,75,324.75
09-02-2022,1002,18,15.99,1002,Recycled Denim Jacket,12,1002,Los Angeles,1003,Blue Horizon,8/20/2022,8/31/2022,09-02-2022,30,15,30,45,674.65
09-03-2022,1003,22,9.99,1003,Fair Trade Coffee,7,1003,Chicago,1004,Fair Trade Co.,8/25/2022,8/30/2022,09-03-2022,60,30,60,90,599.4
09-04-2022,1004,15,19.99,1004,Handwoven Basket,10,1004,Miami,1005,Artisan Crafts,8/22/2022,8/30/2022,09-04-2022,40,20,40,60,899.7
09-05-2022,1005,20,14.99,1005,Eco-friendly Notebook,9,1005,Seattle,1006,Eco-Friendly Supplies,8/28/2022,09-01-2022,09-05-2022,70,35,70,100,1499.5
09-06-2022,1006,12,24.99,1006,Bamboo Toothbrush Set,11,1006,Boston,1007,Green Living,8/27/2022,09-01-2022,09-06-2022,50,25,50,75,1249.75
09-07-2022,1007,17,17.99,1007,Organic Cotton Socks,8,1007,San Francisco,1008,Eco-Friendly Socks,8/26/2022,8/31/2022,09-07-2022,45,15,45,60,839.65
09-08-2022,1008,19,11.99,1008,Fair Trade Chocolate,6,1008,New York,1009,Fair Trade Chocolate Co.,8/24/2022,8/29/2022,09-08-2022,55,25,55,75,699.75
09-09-2022,1009,25,16.99,1009,Recycled Plastic Water Bottle,13,1009,Los Angeles,1010,Green Bottles,8/23/2022,09-01-2022,09-09-2022,60,30,60,90,1079.5
06-01-2022,10001,5,12.99,101,Organic Cotton T-Shirt,7,1,New York,101,Green Earth Apparel,5/20/2022,5/27/2022,06-01-2022,12,5,10,15,64.95
06-02-2022,10002,3,19.99,102,Handwoven Basket,14,2,Los Angeles,102,Fair Trade Baskets,5/25/2022,06-08-2022,06-02-2022,8,3,5,8,59.94
06-03-2022,10003,7,24.99,103,Artisanal Soap Set,10,3,Chicago,103,Natural Soap Co.,5/28/2022,06-07-2022,06-03-2022,15,7,8,10,174.93
06-04-2022,10004,2,49.99,104,Handmade Quilt,21,4,Miami,104,Quilted Dreams,5/22/2022,06-10-2022,06-04-2022,10,4,6,8,99.98
06-05-2022,10005,4,14.99,105,Bamboo Toothbrush Set,5,5,Houston,105,Eco-Friendly Brushes,5/26/2022,5/31/2022,06-05-2022,18,12,15,20,69.96
06-06-2022,10006,6,29.99,106,Handmade Ceramic Mug,12,6,Boston,106,Ceramic Artisans,5/27/2022,06-09-2022,06-06-2022,13,8,10,12,179.94
06-07-2022,10007,1,99.99,107,Handcrafted Leather Jacket,28,7,Seattle,107,Leather Craftsmen,5/23/2022,6/15/2022,06-07-2022,5,3,4,5,499.95
06-08-2022,10008,0,24.99,108,Handwoven Rugs,18,8,Philadelphia,108,Rug Weavers,5/24/2022,06-12-2022,06-08-2022,12,6,7,8,194.92
06-09-2022,10009,0,19.99,109,Handmade Glass Vases,15,9,Denver,109,Glass Artisans,5/26/2022,06-11-2022,06-09-2022,15,10,12,15,349.85
